id,source,text,created_at
30,x,@Lycheebuatkamu boleh cek dulu aja ongkirnya kaa sunscreen ? cosrx https://t.co/qRAZDUgfXY ? erha https://t.co/ybqBbXKCmM ? amaterasun https://t.co/gWmX4BcKhz ? garnier https://t.co/TiKZD5FbAj ? klairs https://t.co/UNXzDgtAd1 ? labore https://t.co/UO7LV4Jfme,Thu Jun 12 08:54:10 +0000 2025
31,x,Buat sunscreen daily kalian prefer Wardah acne calming atau amaterasun? Lagi mikir nih mau nyoba salah satunya https://t.co/08iAnAgZQ2,Thu Jun 12 05:19:06 +0000 2025
32,x,@sanjiviensmoke amaterasun yg physical sunscreen,Thu Jun 12 04:56:42 +0000 2025
33,x,@ohmy_beautybank Sunscreen amaterasun terbaik sih utk normal to oily skin. https://t.co/rDqkpMIzXm,Thu Jun 12 04:12:27 +0000 2025
34,x,Cek AMATERASUN [REAL SPF Certified] [2 PCS] Combination UV Sunscreen Serum SPF 50+ PA++ dengan harga Rp114.400. Dapatkan di Shopee sekarang! https://t.co/VM9xU9JHkF https://t.co/d6178DM3VI,Thu Jun 12 04:01:08 +0000 2025
35,x,AMATERASUN REAL SPF Certified Sunscreen Bundle Mix. Sunscreen yang menurut aku yang paling gacor parah. pengalaman ku setelah pake ss ini kulit wajah jadi lebih ringan ga berminyak gabikin iritasi karna cocok disemua tipe kulit. Link co dimari: https://t.co/DVqP9dFg5H https://t.co/aMeHPdUqV7,Thu Jun 12 02:56:49 +0000 2025
36,x,@m0lenmini @ohmy_beautybank fw: g2g ungu toner : anua rice toner cuman aku lebih cocok sama dear klairs unscented moist : beauty of joseon red bean/skin1004 centella soothing cream ss : amaterasun sunscreen serum serum : skin1004 ampoule putih elformula peeling serum itu yaa,Thu Jun 12 01:45:20 +0000 2025
37,x,@wannabeeelvd halo aku ada amaterasun sunscreen serum kak sama base ultra matte sunscreen ada peeloved parasol sunscreen lotion sisa 80%an isi 100ml masi banyak bgt cuma 50k aja https://t.co/JiTy6nvj58,Wed Jun 11 23:38:19 +0000 2025
38,x,Want To Sell / WTS Amaterasun UV Sunscreen Cream 2 pieces. - 1 preloved (dipake baru 3x) - 1 masih segel Ori ya gess aku beli wkt itu yg bundle taunya malah ga cocok Kalau mau take langsung aku kasih harga 60k. Kalau mau take 1 yang segel 37k yang preloved 30k https://t.co/ivFRYj3fN9,Wed Jun 11 14:40:59 +0000 2025
39,x,sunscreen amaterasun isi 2 pcs https://t.co/MCPZRolDCM cara potong koin ada di pinned zonauang https://t.co/lSz3QWJCxL,Wed Jun 11 14:12:16 +0000 2025
40,x,REKOMENDASI LIP BALM Cocok untuk kulit gelap Amaterasun https://t.co/YHcVdFJuBv Ada SPF 20 PA+++ Sunscreen buat bibir biar melindungi dari matahari Melembabin bibir banget buat bibir kering Tekstur ringan gak berat di bibir Cocok dipake daily sehari2 https://t.co/WFdaC4B279,Wed Jun 11 12:24:48 +0000 2025
41,x,@ohmy_beautybank Aku skintype oily sangat ngerekomendasiin sunscreen amaterasun avoskin mrt dan facewash hadalabo. Kalau pyunkangyul menurutku agak kurang ngehidrasi,Wed Jun 11 11:49:14 +0000 2025
42,x,WTB preloved sunscreen amaterasun serum biru tua dong under 50 ada ngga,Wed Jun 11 10:40:50 +0000 2025
43,x,@ohmy_beautybank sejauh ini ada 3 yang menurutku bagus: Shiseido Perfect Sun Protector Lotion Moell Physical Sunscreen sama AMATERASUN Physical Sunscreen,Wed Jun 11 09:34:36 +0000 2025
44,x,@KwangSeblak2 @keioppi moist pake cosrx atau skin1004 trs sunscreen nya amaterasun ak pake basic skincare aja diselingin sheetmask 2x sebulan kl rajin atau exfo pake https://t.co/rKG8wSgIFH yg volcano seminggu 1x (kl rajin bgt) soalnya suka males,Wed Jun 11 09:18:54 +0000 2025
45,x,jajan yuuk persunscreen dan perhair care-annya~~ sunscreen ? cosrx https://t.co/qRAZDUgfXY ? erha https://t.co/ybqBbXKCmM ? amaterasun https://t.co/gWmX4BcKhz ? garnier https://t.co/TiKZD5FbAj ? klairs https://t.co/UNXzDgtAd1 ? labore https://t.co/UO7LV4Jfme haircare https://t.co/QBtuAdoLZZ,Wed Jun 11 08:57:59 +0000 2025
46,x,@truneverland amaterasun aja sunscreen plus skintint sbnrnya better ttp pake ss walopun skintintnya ada spfnya,Wed Jun 11 07:21:11 +0000 2025
47,x,Tawarin amaterasun sunscreen normal-oily langsung sertain link,Wed Jun 11 06:13:13 +0000 2025
48,x,Cek AMATERASUN [REAL SPF Certified] [2 PCS] Physical Sunscreen SPF 50+ PA++++ dengan harga Rp133.800. Dapatkan di Shopee sekarang! https://t.co/KKRCJtrvos https://t.co/R65UGRKvFo,Wed Jun 11 05:38:56 +0000 2025
49,x,5. Amaterasun physical sunscreen Dari awal launchingnya udah jatuh cinta sama physical sunscreen ini aku selalu pake ini kalo mau olahraga karena dia transferproof gitu ga whitecast dan SPF nya udah 50 https://t.co/H6Bh2xbQCp,Wed Jun 11 05:37:04 +0000 2025
50,x,Ada yg jual sunscreen serum sama skin tint amaterasun? Atau tumblr tahan panas/dingin?,Wed Jun 11 04:23:10 +0000 2025
51,x,menurut gue sih sunscreen amaterasun mantep,Wed Jun 11 04:19:52 +0000 2025
52,x,@ckrwlngt new segel kak sunscreen ? cosrx https://t.co/qRAZDUgfXY ? erha https://t.co/ybqBbXKCmM ? amaterasun https://t.co/gWmX4BcKhz ? garnier https://t.co/TiKZD5FbAj ? klairs https://t.co/UNXzDgtAd1 ? labore https://t.co/UO7LV4Jfme,Wed Jun 11 03:30:03 +0000 2025
53,x,Cek AMATERASUN [REAL SPF Certified] [2 PCS] UV Body Sunscreen SPF 40 PA++ dengan harga Rp153.200. Dapatkan di Shopee sekarang! https://t.co/6Al9TmlBK5 https://t.co/4EwEUdX6SC,Wed Jun 11 01:27:31 +0000 2025
54,x,Cek AMATERASUN [REAL SPF Certified] Physical Sunscreen SPF 50+ PA++++ dengan harga Rp79.000. Dapatkan di Shopee sekarang! https://t.co/GtWuC5fbd7 https://t.co/U8wObfPcvj,Wed Jun 11 01:27:27 +0000 2025
55,x,Cek AMATERASUN [REAL SPF Certified] [2 PCS] Transparent Sunscreen Moisturizer SPF 43 PA+++ dengan harga Rp153.000. Dapatkan di Shopee sekarang! https://t.co/yONn7R09BZ https://t.co/RsjxE8zvk4,Wed Jun 11 01:27:22 +0000 2025
56,x,@lippppeye Sunscreen amaterasun salah satu wishlist aku jg,Tue Jun 10 14:11:16 +0000 2025
57,x,@ohmy_beautybank Aku pake aboveboard bagus banget Nder buat ngilangin bekas jerawat membandel!!! Tpi aku kurang suka teksturnya soalnya meresapnya cukup lama di aku yg gampang keringetan. Klo sunscreen aku jg punya dri amaterasun tapi yg wudhu friendly dia ringan dan cepat meresap di wajah,Tue Jun 10 13:50:24 +0000 2025
